City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
margaret river,-33.95,115.0667,58.37,51,9,11.43,AU,2024-11-25
grytviken,-54.2811,-36.5092,34.39,83,100,6.73,GS,2024-11-25
kapuskasing,49.4169,-82.4331,30.29,100,100,4.61,CA,2024-11-25
saint-francois,46.4154,3.9054,47.64,94,100,4.61,FR,2024-11-25
yellowknife,62.456,-114.3525,19.42,94,100,18.41,CA,2024-11-25
kirensk,57.7853,108.1119,-4.92,96,89,6.55,RU,2024-11-25
foindu,7.4108,-11.5422,75.51,92,62,2.44,SL,2024-11-25
hamilton,39.1834,-84.5333,60.42,91,100,8.05,US,2024-11-25
ust-nera,64.5667,143.2,-26.91,100,9,5.08,RU,2024-11-25
badger,64.8,-147.5333,21.45,84,100,0.0,US,2024-11-25
gunjur,13.2019,-16.7339,75.27,94,0,5.75,GM,2024-11-25
vallenar,-28.5708,-70.7581,72.59,33,6,4.25,CL,2024-11-25
saipan,15.1355,145.701,88.5,79,20,19.57,MP,2024-11-25
pitimbu,-7.4706,-34.8086,77.85,75,4,8.39,BR,2024-11-25
vila velha,-20.3297,-40.2925,75.15,72,75,3.44,BR,2024-11-25
wamba,8.9333,8.6,70.88,25,11,4.56,NG,2024-11-25
mahavelona,-17.6848,49.5087,75.67,87,100,3.36,MG,2024-11-25
tura,25.5198,90.2201,58.87,87,20,3.94,IN,2024-11-25
petropavlovsk-kamchatsky,53.0452,158.6483,34.39,48,75,15.66,RU,2024-11-25
ushuaia,-54.8,-68.3,49.66,66,0,17.27,AR,2024-11-25
west island,-12.1568,96.8225,80.58,94,100,26.46,CC,2024-11-25
trincomalee,8.5711,81.2335,78.26,90,100,20.27,LK,2024-11-25
bethel,41.3712,-73.414,43.56,67,0,1.99,US,2024-11-25
vorgashor,67.5833,63.95,24.82,91,100,27.11,RU,2024-11-25
port-aux-francais,-49.35,70.2167,37.53,74,57,37.76,TF,2024-11-25
qaqortoq,60.7167,-46.0333,11.77,75,0,3.53,GL,2024-11-25
buala,-8.145,159.5921,86.81,68,63,5.14,SB,2024-11-25
hermanus,-34.4187,19.2345,60.8,65,100,21.52,ZA,2024-11-25
albany,42.6001,-73.9662,37.63,69,71,2.77,US,2024-11-25
puerto ayora,-0.7393,-90.3518,73.54,84,38,7.0,EC,2024-11-25
manokwari,-0.8667,134.0833,83.55,67,100,3.31,ID,2024-11-25
chonchi,-42.6128,-73.8092,53.11,89,50,3.67,CL,2024-11-25
olonkinbyen,70.9221,-8.7187,28.13,66,100,21.7,SJ,2024-11-25
bredasdorp,-34.5322,20.0403,60.58,64,100,16.24,ZA,2024-11-25
mantua,45.1667,10.7833,46.06,89,81,0.49,IT,2024-11-25
blackmans bay,-43.0167,147.3167,64.72,83,33,6.73,AU,2024-11-25
rakops,-21.0167,24.3333,73.22,62,93,8.39,BW,2024-11-25
tiksi,71.6872,128.8694,-0.44,72,62,23.26,RU,2024-11-25
tougan,13.0667,-3.0667,74.41,17,65,8.55,BF,2024-11-25
weno,7.4515,151.8468,85.95,79,75,6.91,FM,2024-11-25
fuglafjordur,62.244,-6.814,36.82,66,100,29.19,FO,2024-11-25
pariaman,-0.619,100.12,77.05,88,100,5.23,ID,2024-11-25
nemuro,43.3236,145.575,36.81,63,6,7.07,JP,2024-11-25
paseh,-7.1026,107.7641,74.82,81,99,2.68,ID,2024-11-25
huntsville,34.7304,-86.5861,69.67,77,100,15.99,US,2024-11-25
richards bay,-28.783,32.0377,75.13,79,76,16.6,ZA,2024-11-25
trairi,-3.2778,-39.2689,78.49,74,25,8.25,BR,2024-11-25
salalah,17.0151,54.0924,77.09,73,0,3.44,OM,2024-11-25
al kharijah,25.4514,30.5464,53.2,60,0,6.96,EG,2024-11-25
messaad,34.1543,3.5031,52.79,63,89,4.5,DZ,2024-11-25
collinsville,38.6703,-89.9846,45.95,75,100,16.11,US,2024-11-25
udachny,66.4167,112.4,-5.37,94,100,12.53,RU,2024-11-25
serdar,38.9764,56.2757,53.29,61,36,7.67,TM,2024-11-25
aydintepe,40.3894,40.1506,8.06,96,100,2.86,TR,2024-11-25
iqaluit,63.7506,-68.5145,10.13,67,75,11.5,CA,2024-11-25
edinburgh of the seven seas,-37.0676,-12.3116,56.08,73,94,14.05,SH,2024-11-25
kavaratti,10.5669,72.642,82.31,66,91,8.93,IN,2024-11-25
willowmore,-33.2926,23.4895,61.86,73,100,3.13,ZA,2024-11-25
cidade velha,14.9167,-23.6167,77.47,78,20,16.11,CV,2024-11-25
papatowai,-46.5619,169.4708,62.11,50,61,16.71,NZ,2024-11-25
hadibu,12.65,54.0333,78.06,68,57,9.19,YE,2024-11-25
longyearbyen,78.2186,15.6401,12.04,79,75,17.27,SJ,2024-11-25
tralee,52.2704,-9.7026,41.76,74,42,6.42,IE,2024-11-25
waitangi,-43.9535,-176.5597,56.79,93,43,15.73,NZ,2024-11-25
port mathurin,-19.6833,63.4167,76.44,73,13,16.8,MU,2024-11-25
huarmey,-10.0681,-78.1522,67.78,84,86,7.63,PE,2024-11-25
whitehorse,60.7161,-135.0538,9.37,71,75,3.44,CA,2024-11-25
namie,37.4833,141.0,49.98,78,84,5.88,JP,2024-11-25
novhorod-sivers'kyy,52.0058,33.2615,22.24,85,48,4.12,UA,2024-11-25
bodo,67.28,14.405,35.78,93,75,17.27,NO,2024-11-25
selfoss,63.9331,-20.9971,14.04,81,4,4.29,IS,2024-11-25
yermentau,51.6214,73.1069,18.14,82,13,11.65,KZ,2024-11-25
st. john's,47.5649,-52.7093,42.15,96,100,3.0,CA,2024-11-25
samitah,16.596,42.9444,81.16,70,0,4.52,SA,2024-11-25
talnakh,69.4865,88.3972,24.12,93,100,13.98,RU,2024-11-25
la cruz,23.9167,-106.9,74.35,63,56,7.61,MX,2024-11-25
zheleznodorozhnyy,55.7503,38.0042,26.15,75,100,7.94,RU,2024-11-25
opuwo,-18.0607,13.84,70.32,34,11,5.53,NA,2024-11-25
georgetown,5.4112,100.3354,78.73,93,20,0.0,MY,2024-11-25
jidong,45.2167,131.0833,32.04,94,100,9.93,CN,2024-11-25
pisco,-13.7,-76.2167,69.85,73,0,20.71,PE,2024-11-25
jalai nur,49.45,117.7,9.43,83,100,11.21,CN,2024-11-25
egilsstadir,65.2653,-14.3948,15.71,73,0,6.91,IS,2024-11-25
mersa matruh,31.3525,27.2453,61.0,59,75,25.32,EG,2024-11-25
uturoa,-16.7333,-151.4333,80.35,80,98,13.76,PF,2024-11-25
port lincoln,-34.7333,135.8667,76.41,58,89,14.2,AU,2024-11-25
port douglas,-16.4833,145.4667,81.3,61,5,7.2,AU,2024-11-25
newman,37.3138,-121.0208,59.04,79,100,8.99,US,2024-11-25
muheza,-5.1667,38.7833,73.18,94,42,2.75,TZ,2024-11-25
tazovsky,67.4667,78.7,17.44,89,72,15.95,RU,2024-11-25
nar'yan-mar,67.6713,53.087,31.39,92,100,30.0,RU,2024-11-25
balykshi,47.0667,51.8667,24.8,86,0,8.95,KZ,2024-11-25
colonia,50.9333,6.95,50.13,83,0,5.75,DE,2024-11-25
forbes,-33.3833,148.0167,89.47,22,100,14.94,AU,2024-11-25
acucena,-19.0731,-42.5464,62.2,91,83,2.62,BR,2024-11-25
kayangel,8.0823,134.7173,83.59,82,93,21.07,PW,2024-11-25
bilibino,68.0546,166.4372,-29.94,98,26,3.47,RU,2024-11-25
fort bragg,35.139,-79.006,64.24,59,0,5.75,US,2024-11-25
nova sintra,14.8667,-24.7167,78.37,76,15,10.96,CV,2024-11-25
ugoofaaru,5.6667,73.0,80.85,80,100,4.0,MV,2024-11-25
troitskiy,57.0603,63.7481,26.44,82,18,6.15,RU,2024-11-25
revda,56.801,59.9303,22.32,88,78,2.24,RU,2024-11-25
san rafael,-34.6177,-68.3301,78.39,31,0,5.17,AR,2024-11-25
junin de los andes,-39.9504,-71.0694,43.66,86,55,5.93,AR,2024-11-25
bardai,11.65,7.2333,63.54,28,11,8.59,NG,2024-11-25
enewetak,11.3474,162.3373,82.74,82,31,19.57,MH,2024-11-25
thunder bay,48.4001,-89.3168,30.18,100,100,3.44,CA,2024-11-25
homer,59.6425,-151.5483,39.09,78,100,11.5,US,2024-11-25
chirilagua,13.2203,-88.1386,85.75,86,7,1.9,SV,2024-11-25
sisimiut,66.9395,-53.6735,29.75,98,100,14.43,GL,2024-11-25
keflavik,64.0049,-22.5624,28.83,86,75,12.66,IS,2024-11-25
sume,-7.6717,-36.88,79.68,54,78,17.16,BR,2024-11-25
puerto natales,-51.7236,-72.4875,51.48,85,36,3.62,CL,2024-11-25
santo estevao,-12.4303,-39.2514,71.47,89,99,6.69,BR,2024-11-25
la'ie,21.6477,-157.9253,82.11,71,1,1.99,US,2024-11-25
adamstown,-25.066,-130.1015,72.57,78,33,17.98,PN,2024-11-25
namsos,64.4662,11.4957,33.71,93,75,10.36,NO,2024-11-25
ar rudayyif,34.3827,8.1555,52.23,69,0,3.62,TN,2024-11-25
lihue,21.9789,-159.3672,80.19,71,0,14.97,US,2024-11-25
sydney,-33.8679,151.2073,91.35,52,22,7.9,AU,2024-11-25
broken hill,-31.95,141.4333,84.92,41,85,14.07,AU,2024-11-25
guapi,2.5708,-77.8854,76.98,94,75,6.91,CO,2024-11-25
minas de marcona,-15.2119,-75.1103,58.01,81,72,12.97,PE,2024-11-25
tobelo,1.7284,128.0095,83.07,77,85,3.06,ID,2024-11-25
katsuyama,36.0617,136.501,56.66,61,67,11.23,JP,2024-11-25
sittwe,20.15,92.9,67.05,72,79,7.9,MM,2024-11-25
kerikeri,-35.2268,173.9474,72.61,45,53,6.13,NZ,2024-11-25
cockburn town,21.4612,-71.1419,80.69,83,76,21.68,TC,2024-11-25
happy valley-goose bay,53.3168,-60.3315,37.71,87,100,5.75,CA,2024-11-25
utrik,11.2278,169.8474,83.17,80,9,18.99,MH,2024-11-25
griffith,41.5284,-87.4237,48.06,78,100,13.8,US,2024-11-25
port blair,11.6667,92.75,82.44,83,75,4.61,IN,2024-11-25
ta`u,-14.2336,-169.5144,81.84,78,84,11.63,AS,2024-11-25
coron,11.9986,120.2043,83.01,72,72,2.3,PH,2024-11-25
stanley,54.868,-1.6985,41.02,82,99,19.57,GB,2024-11-25
hawaiian paradise park,19.5933,-154.9731,80.11,75,0,9.22,US,2024-11-25
saint-joseph,-21.3667,55.6167,71.98,83,37,9.17,RE,2024-11-25
aldinga beach,-35.2793,138.4604,83.08,56,100,10.38,AU,2024-11-25
vilyuchinsk,52.9306,158.4028,35.87,77,100,10.33,RU,2024-11-25
sur,22.5667,59.5289,74.75,72,0,5.21,OM,2024-11-25
sola,-13.8833,167.55,82.24,78,100,8.32,VU,2024-11-25
kodiak,57.79,-152.4072,36.91,81,0,3.44,US,2024-11-25
college,64.8569,-147.8028,21.18,79,100,0.0,US,2024-11-25
pingliang,35.5392,106.6861,25.27,35,21,2.64,CN,2024-11-25
coquimbo,-29.9533,-71.3436,63.99,66,0,9.22,CL,2024-11-25
beihai,21.4833,109.1,62.15,70,96,25.34,CN,2024-11-25
rongelap,11.1635,166.8941,82.99,81,21,19.51,MH,2024-11-25
razgrad,43.5333,26.5167,32.94,57,1,4.45,BG,2024-11-25
ribeira grande,38.5167,-28.7,67.77,94,13,7.0,PT,2024-11-25
ilulissat,69.2167,-51.1,24.82,74,100,16.11,GL,2024-11-25
valparaiso,-33.0393,-71.6273,71.24,45,0,16.11,CL,2024-11-25
beroroha,-21.6667,45.1667,80.58,56,42,2.68,MG,2024-11-25
ilave,-16.0833,-69.6667,53.35,67,0,6.04,PE,2024-11-25
east london,-33.0153,27.9116,69.48,74,96,19.33,ZA,2024-11-25
atafu village,-8.5421,-172.5159,83.84,74,9,18.14,TK,2024-11-25
vilyuysk,63.7553,121.6247,-7.64,88,100,6.69,RU,2024-11-25
lerwick,60.1545,-1.1494,43.61,86,100,33.13,GB,2024-11-25
cadale,2.7603,46.3222,80.24,83,31,11.21,SO,2024-11-25
chibuto,-24.6867,33.5306,71.42,82,0,9.01,MZ,2024-11-25
soio,-6.1349,12.3689,78.93,85,99,6.85,AO,2024-11-25
gereida,11.2811,25.1414,66.47,23,5,10.09,SD,2024-11-25
agadez,19.75,10.25,62.33,37,0,11.41,NE,2024-11-25
merritt,50.1123,-120.7942,26.33,76,87,3.0,CA,2024-11-25
puerto aysen,-45.4,-72.7,49.28,99,100,5.57,CL,2024-11-25
nogliki,51.8333,143.1667,17.46,78,35,6.53,RU,2024-11-25
kimbe,-5.5502,150.1429,88.63,61,56,2.55,PG,2024-11-25
clearlake,38.9582,-122.6264,49.82,94,100,3.36,US,2024-11-25
port elizabeth,-33.918,25.5701,65.32,92,0,19.57,ZA,2024-11-25
codrington,-38.2667,141.9667,76.24,54,33,4.43,AU,2024-11-25
tshabong,-26.05,22.45,81.25,30,6,12.48,BW,2024-11-25
cooper's town,26.8667,-77.5167,73.11,69,60,7.63,BS,2024-11-25
mangrol,21.1167,70.1167,72.75,46,89,10.16,IN,2024-11-25
kinango,-4.1372,39.3153,73.31,94,20,0.2,KE,2024-11-25
wailua homesteads,22.0669,-159.378,79.59,72,0,14.97,US,2024-11-25
ballina,-28.8667,153.5667,75.94,67,54,8.93,AU,2024-11-25
erdenet,49.0333,104.0833,8.37,71,97,5.53,MN,2024-11-25
aasiaat,68.7098,-52.8699,24.6,73,100,15.48,GL,2024-11-25
bengkulu,-3.8004,102.2655,76.15,89,100,8.19,ID,2024-11-25
aleksandrovskoye,44.7142,43.0008,37.09,99,100,3.87,RU,2024-11-25
kuanda,56.3161,116.0806,-19.07,96,75,0.69,RU,2024-11-25
impfondo,1.6381,18.0667,72.41,96,99,1.23,CG,2024-11-25
cascais,38.6979,-9.4215,61.5,76,100,1.01,PT,2024-11-25
vernon,50.2581,-119.2691,35.13,77,98,2.3,CA,2024-11-25
arraial do cabo,-22.9661,-42.0278,69.76,73,0,6.91,BR,2024-11-25
oruro,-17.9833,-67.15,51.22,64,100,6.04,BO,2024-11-25
kaoma,-14.7833,24.8,63.05,99,88,1.72,ZM,2024-11-25
rikaze,29.25,88.8833,25.2,65,0,3.44,CN,2024-11-25
port alfred,-33.5906,26.891,67.17,88,96,4.0,ZA,2024-11-25
kolonia,50.9333,6.95,50.13,83,0,5.75,DE,2024-11-25
caohe,30.2297,115.4335,44.73,43,40,2.8,CN,2024-11-25
terrace,54.5163,-128.6035,22.91,53,75,17.27,CA,2024-11-25
freetown,8.484,-13.2299,80.2,79,12,5.79,SL,2024-11-25
lata,40.1629,-8.3327,50.22,79,97,2.39,PT,2024-11-25
san antonio de pale,-1.4014,5.6325,78.75,83,100,10.94,GQ,2024-11-25
amga,60.8953,131.9608,-12.77,99,100,0.72,RU,2024-11-25
constantia,44.1833,28.65,25.48,54,49,6.8,RO,2024-11-25
bermeo,43.4209,-2.7215,47.82,80,41,6.93,ES,2024-11-25
dudinka,69.4058,86.1778,24.49,93,100,20.6,RU,2024-11-25
natal,-5.795,-35.2094,79.02,78,20,5.75,BR,2024-11-25
eyl,7.9803,49.8164,78.71,81,22,11.45,SO,2024-11-25
siwa oasis,29.2041,25.5195,56.66,59,21,7.85,EG,2024-11-25
esil,51.9556,66.4042,20.19,82,48,7.38,KZ,2024-11-25
klaksvik,62.2266,-6.589,38.57,65,100,33.24,FO,2024-11-25
bom jesus,-9.0744,-44.3586,73.08,87,86,1.39,BR,2024-11-25
chhabra,24.6667,76.8333,61.47,43,13,0.81,IN,2024-11-25
albertina,-22.2008,-46.6158,67.8,70,100,4.61,BR,2024-11-25
touros,-5.1989,-35.4608,77.88,75,28,11.5,BR,2024-11-25
loch garman,52.3342,-6.4575,42.89,95,19,3.0,IE,2024-11-25
santa terezinha,-29.9002,-50.0904,69.31,92,100,8.23,BR,2024-11-25
mezhdurechenskiy,59.6,65.9333,27.16,86,99,7.76,RU,2024-11-25
fuqing,25.725,119.3794,60.49,90,100,4.36,CN,2024-11-25
bartica,6.4,-58.6167,73.42,92,40,2.89,GY,2024-11-25
puerto santa,-8.9906,-78.6456,66.67,85,99,9.1,PE,2024-11-25
manismata,-2.4667,111.0333,77.23,93,100,1.3,ID,2024-11-25
acapulco de juarez,16.8634,-99.8901,85.82,70,20,6.91,MX,2024-11-25
calama,-22.4667,-68.9333,70.29,18,0,23.02,CL,2024-11-25
gondar,12.6,37.4667,56.46,81,36,3.91,ET,2024-11-25
remire-montjoly,4.9167,-52.2667,82.44,83,75,4.61,GF,2024-11-25
castillos,-34.1667,-53.8333,66.6,98,100,6.06,UY,2024-11-25
katsuren-haebaru,26.3369,127.8719,78.82,77,40,6.91,JP,2024-11-25
champerico,14.3,-91.9167,79.12,77,2,10.42,GT,2024-11-25
noumea,-22.2763,166.4572,74.53,92,99,9.01,NC,2024-11-25
kailua-kona,19.6406,-155.9956,83.28,70,0,16.11,US,2024-11-25
khovd,48.0056,91.6419,14.36,56,9,6.96,MN,2024-11-25
villa ojo de agua,-29.5,-63.6938,68.07,97,67,14.16,AR,2024-11-25
yatou,37.15,122.3833,35.42,51,0,18.12,CN,2024-11-25
afaahiti,-17.75,-149.2833,77.95,81,100,15.82,PF,2024-11-25
stelle,53.3842,10.1114,48.18,89,100,10.87,DE,2024-11-25
port hedland,-20.3167,118.5667,86.05,62,91,13.8,AU,2024-11-25
la huerta,19.4667,-104.65,74.7,85,63,3.85,MX,2024-11-25
jamestown,42.097,-79.2353,46.02,91,100,9.22,US,2024-11-25
mansourah,31.0364,31.3807,57.34,68,100,3.74,EG,2024-11-25
severo-yeniseyskiy,60.3725,93.0408,20.44,94,98,7.65,RU,2024-11-25
thompson,55.7435,-97.8558,10.56,85,100,9.22,CA,2024-11-25
akureyri,65.6835,-18.0878,24.73,54,0,20.71,IS,2024-11-25
daru,-9.0763,143.2092,81.9,85,74,12.41,PG,2024-11-25
sofifi,0.7349,127.576,83.07,76,74,1.66,ID,2024-11-25
minzhu,43.7286,127.3447,33.96,100,100,3.96,CN,2024-11-25
dalhem,50.7132,5.7277,48.7,92,100,10.29,BE,2024-11-25
tindouf,27.6711,-8.1474,68.45,26,0,4.61,DZ,2024-11-25
farmville,37.3021,-78.3919,52.12,66,75,0.0,US,2024-11-25
povolzhskiy,53.5854,49.7629,20.82,66,12,3.98,RU,2024-11-25
aykhal,66.0,111.5,-7.85,95,100,19.22,RU,2024-11-25
la passe,45.5549,-0.8967,54.0,83,23,13.73,FR,2024-11-25
san andres,12.5847,-81.7006,77.02,100,40,6.91,CO,2024-11-25
ashland,40.8167,-82.2665,54.27,97,100,11.83,US,2024-11-25
inverloch,-38.6333,145.7167,67.46,85,95,9.01,AU,2024-11-25
al artawiyah,26.5053,45.3444,65.59,65,57,9.64,SA,2024-11-25
peterhead,57.5058,-1.7981,46.49,80,100,27.31,GB,2024-11-25
rio hato,8.3833,-80.1667,80.15,83,40,4.61,PA,2024-11-25
kirakira,-10.4544,161.9205,86.23,69,84,7.83,SB,2024-11-25
cole harbour,44.6724,-63.4751,44.08,87,75,23.02,CA,2024-11-25
proletariy,58.4342,31.7046,35.71,85,92,15.95,RU,2024-11-25
evanston,42.0411,-87.6901,45.01,81,100,16.11,US,2024-11-25
raduzhny,62.0961,77.475,17.58,96,70,7.23,RU,2024-11-25
guerrero negro,27.9769,-114.0611,66.54,68,63,12.26,MX,2024-11-25
fukumitsu,36.55,136.8667,55.27,66,63,5.79,JP,2024-11-25
punta arenas,-53.15,-70.9167,51.91,62,0,10.36,CL,2024-11-25
razole,16.4833,81.8333,73.06,74,100,5.73,IN,2024-11-25
chibougamau,49.9168,-74.3659,29.82,100,100,4.61,CA,2024-11-25
lebu,-37.6167,-73.65,54.84,89,72,5.57,CL,2024-11-25
nagqu,31.5,92.0,14.67,27,14,2.13,CN,2024-11-25
tolanaro,-25.0319,46.9987,80.67,94,40,9.22,MG,2024-11-25
el nido,11.1858,119.3956,79.14,90,83,15.52,PH,2024-11-25
isafjordur,66.0755,-23.124,27.5,82,10,11.32,IS,2024-11-25
zeya,53.75,127.2667,15.62,94,100,6.31,RU,2024-11-25
al ain city,24.1917,55.7606,74.82,64,0,6.91,AE,2024-11-25
iskateley,67.6803,53.1512,31.26,93,100,29.8,RU,2024-11-25
shibetsu,43.659,145.132,32.7,69,20,3.44,JP,2024-11-25
portrush,55.1959,-6.6493,44.49,73,100,8.99,GB,2024-11-25
deshnoke,27.8,73.35,63.66,31,0,6.82,IN,2024-11-25
saldanha,-33.0117,17.9442,59.05,72,72,11.99,ZA,2024-11-25
kaohsiung,22.6163,120.3133,73.35,88,75,12.66,TW,2024-11-25
haiku-pauwela,20.9219,-156.3051,81.21,73,40,13.8,US,2024-11-25
port saint john's,-31.6229,29.5448,74.48,89,100,15.59,ZA,2024-11-25
alexandria,31.2156,29.9553,60.35,58,92,12.44,EG,2024-11-25
bako,5.7833,36.5667,62.13,87,64,3.56,ET,2024-11-25
mitsamiouli,-11.3847,43.2844,80.69,76,98,5.23,KM,2024-11-25
pikalevo,59.5183,34.1664,35.51,86,100,12.5,RU,2024-11-25
holualoa,19.6228,-155.9522,79.56,71,0,16.11,US,2024-11-25
baukau,51.5526,7.2042,49.14,89,100,9.44,DE,2024-11-25
acarau,-2.8856,-40.12,79.27,75,3,14.45,BR,2024-11-25
vila franca do campo,37.7167,-25.4333,66.61,99,100,15.66,PT,2024-11-25
lorengau,-2.0226,147.2712,83.55,82,98,9.44,PG,2024-11-25
yuzhno-kurilsk,44.0306,145.8556,37.92,61,10,12.24,RU,2024-11-25
fort st. john,56.2499,-120.8529,-5.91,84,20,8.05,CA,2024-11-25
prado,-17.3411,-39.2208,71.64,74,0,9.28,BR,2024-11-25
ebaye,8.7748,167.7392,84.22,79,75,19.57,MH,2024-11-25
