City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
fulshear,29.69,-95.8997,77.86,67,75,11.5,US,2024-11-25
cova figueira,14.8905,-24.2934,66.99,77,19,12.57,CV,2024-11-25
sorong,-0.8833,131.25,80.62,87,93,4.41,ID,2024-11-25
vadso,70.0744,29.7487,33.96,80,40,18.41,NO,2024-11-25
wewak,-3.5534,143.6268,81.79,83,98,1.83,PG,2024-11-25
mana,5.6592,-53.7767,79.74,88,41,10.2,GF,2024-11-25
iiyama,36.85,138.3667,50.14,56,71,9.01,JP,2024-11-25
ketchikan,55.3422,-131.6461,35.58,64,0,4.61,US,2024-11-25
oriximina,-1.7656,-55.8661,89.02,46,75,3.02,BR,2024-11-25
ironwood,46.4547,-90.171,31.01,100,100,5.75,US,2024-11-25
obo,5.3998,26.4869,68.68,69,27,1.97,CF,2024-11-25
invercargill,-46.4,168.35,59.02,73,47,18.99,NZ,2024-11-25
nuuk,64.1835,-51.7216,29.01,86,75,16.11,GL,2024-11-25
liuhe,42.2401,125.7172,25.07,95,100,9.95,CN,2024-11-25
cheboksary,56.1322,47.2519,28.99,100,100,4.47,RU,2024-11-25
camayenne,9.535,-13.6878,82.49,89,20,4.61,GN,2024-11-25
rabaul,-4.1967,152.1721,83.64,72,82,2.8,PG,2024-11-25
aguada de pasajeros,22.385,-80.8508,72.93,91,53,7.81,CU,2024-11-25
anadyr,64.75,177.4833,5.5,85,100,8.95,RU,2024-11-25
mount gambier,-37.8333,140.7667,77.94,60,76,4.9,AU,2024-11-25
bahraigh,27.5833,81.6,60.06,57,0,2.48,IN,2024-11-25
nadi,-17.8,177.4167,84.2,65,40,8.05,FJ,2024-11-25
mount isa,-20.7333,139.5,87.57,55,95,5.75,AU,2024-11-25
kapa'a,22.0752,-159.319,80.92,72,0,14.97,US,2024-11-25
queenstown,-31.8976,26.8753,67.41,74,87,0.96,ZA,2024-11-25
bouarfa,32.53,-1.95,52.12,49,97,2.46,MA,2024-11-25
bangassou,4.7413,22.8184,68.02,64,18,1.57,CF,2024-11-25
puerto baquerizo moreno,-0.9,-89.6,71.04,72,61,10.22,EC,2024-11-25
aso,32.9551,131.0967,57.16,92,99,10.6,JP,2024-11-25
hassi messaoud,31.6804,6.0729,58.89,56,21,4.94,DZ,2024-11-25
al hazm,16.1641,44.7769,65.77,33,20,1.34,YE,2024-11-25
wladyslawowo,54.7909,18.4009,51.94,66,97,13.38,PL,2024-11-25
san luis de la loma,17.2706,-100.8939,79.38,83,44,3.91,MX,2024-11-25
saint-philippe,-21.3585,55.7679,74.89,85,27,11.21,RE,2024-11-25
bull savanna,17.8868,-77.5902,75.02,87,100,10.29,JM,2024-11-25
nampula,-15.1165,39.2666,74.28,90,100,1.88,MZ,2024-11-25
hailar,49.2,119.7,9.19,95,100,10.4,CN,2024-11-25
tanaina,61.6269,-149.4281,33.87,95,100,3.44,US,2024-11-25
qarazhal,48.0078,70.7903,23.32,80,5,9.1,KZ,2024-11-25
petrolina,-9.3986,-40.5008,77.05,94,40,2.3,BR,2024-11-25
ust'-ilimsk,58.0006,102.6619,18.36,95,100,7.61,RU,2024-11-25
whakatane,-37.9585,176.9854,75.51,72,93,8.01,NZ,2024-11-25
gadzhiyevo,69.2551,33.3362,26.06,86,31,14.76,RU,2024-11-25
magnolia,33.2671,-93.2393,63.88,72,100,10.0,US,2024-11-25
sitka,57.0531,-135.33,33.73,85,100,4.9,US,2024-11-25
arboletes,8.8505,-76.4269,79.66,86,84,4.9,CO,2024-11-25
malango,-2.9627,119.9001,70.83,93,100,0.81,ID,2024-11-25
mil'kovo,55.6078,37.7956,29.3,68,100,8.3,RU,2024-11-25
carnarvon,-24.8667,113.6333,72.75,50,0,22.26,AU,2024-11-25
dongcun,36.7767,121.1597,32.85,46,0,20.54,CN,2024-11-25
pangody,65.85,74.4859,17.13,91,80,16.2,RU,2024-11-25
dunedin,-45.8742,170.5036,59.81,74,62,3.0,NZ,2024-11-25
klyuchi,52.2667,79.1667,10.76,94,28,4.47,RU,2024-11-25
si sa ket,14.8333,104.3333,72.18,88,20,5.66,TH,2024-11-25
carutapera,-1.195,-46.02,79.54,75,31,8.95,BR,2024-11-25
nabire,-3.3667,135.4833,84.85,70,84,0.54,ID,2024-11-25
bandarbeyla,9.4942,50.8122,78.6,79,14,13.56,SO,2024-11-25
northam,51.0333,-4.2167,46.62,84,12,16.22,GB,2024-11-25
sanming,26.2486,117.6186,52.47,88,64,2.89,CN,2024-11-25
sarupathar,26.1984,93.8094,57.43,91,20,2.57,IN,2024-11-25
dryden,49.7833,-92.7503,25.09,86,100,17.27,CA,2024-11-25
hasaki,35.7333,140.8333,59.02,53,73,3.98,JP,2024-11-25
yeraliyev,43.2,51.65,47.64,61,90,12.08,KZ,2024-11-25
zaozersk,69.4005,32.4476,22.21,87,43,9.01,RU,2024-11-25
ancud,-41.8697,-73.8203,50.79,87,21,8.75,CL,2024-11-25
najafabad,32.6344,51.3668,52.2,64,8,3.0,IR,2024-11-25
cabo san lucas,22.8909,-109.9124,80.91,47,75,4.61,MX,2024-11-25
khor,47.8861,134.9464,24.89,78,100,11.86,RU,2024-11-25
wildwood,38.5828,-90.6629,44.53,74,71,1.99,US,2024-11-25
taro,-8.3862,115.28,76.21,83,100,0.56,ID,2024-11-25
khabary,53.6259,79.5345,9.88,88,20,2.62,RU,2024-11-25
halden,59.1226,11.3871,45.05,85,59,16.17,NO,2024-11-25
cidreira,-30.1811,-50.2056,69.06,92,100,10.2,BR,2024-11-25
vikhorevka,56.1201,101.1636,19.9,88,100,11.72,RU,2024-11-25
katutura,-22.521,17.0557,73.9,32,21,5.91,NA,2024-11-25
susuman,62.7833,148.1667,-32.69,97,9,0.4,RU,2024-11-25
bang saphan,11.2126,99.5117,77.76,89,99,5.91,TH,2024-11-25
boda,4.3189,17.4695,74.01,53,9,3.56,CF,2024-11-25
quellon,-43.1167,-73.6167,51.21,84,52,6.78,CL,2024-11-25
kingston,17.997,-76.7936,81.55,69,75,16.11,JM,2024-11-25
sawakin,19.1059,37.3321,79.36,76,88,12.48,SD,2024-11-25
karratha,-20.7377,116.8463,84.49,46,96,10.02,AU,2024-11-25
santa rosa misiones,-26.8667,-56.85,84.92,38,99,5.84,PY,2024-11-25
slave lake,55.2834,-114.769,10.38,79,0,11.5,CA,2024-11-25
pacific grove,36.6177,-121.9166,64.08,93,100,21.0,US,2024-11-25
saudarkrokur,65.7461,-19.6394,17.56,68,2,16.22,IS,2024-11-25
howard springs,-12.497,131.047,88.83,76,98,3.36,AU,2024-11-25
peace river,56.2501,-117.286,1.71,85,0,0.0,CA,2024-11-25
barcelona,41.3888,2.159,62.67,87,40,2.3,ES,2024-11-25
colinas,-6.0258,-44.2492,76.73,82,92,0.98,BR,2024-11-25
labrador city,52.9463,-66.9114,31.17,97,75,21.99,CA,2024-11-25
callao,-12.0667,-77.15,74.71,77,0,13.8,PE,2024-11-25
jayapura,-2.5333,140.7,81.79,91,100,3.62,ID,2024-11-25
mount darwin,-16.7725,31.5838,69.62,79,71,3.24,ZW,2024-11-25
hobyo,5.3505,48.5268,80.11,80,56,11.1,SO,2024-11-25
kuybyshev,55.4475,78.3218,8.98,85,54,2.44,RU,2024-11-25
adzope,6.1069,-3.8619,73.71,92,46,2.06,CI,2024-11-25
rio grande,-32.035,-52.0986,70.7,87,100,6.11,BR,2024-11-25
ciudad del maiz,22.4,-99.6,61.63,85,3,5.82,MX,2024-11-25
igarka,67.4667,86.5833,16.61,93,92,11.61,RU,2024-11-25
dubna,56.7333,37.1667,30.51,72,99,10.51,RU,2024-11-25
avarua,-21.2078,-159.775,78.85,78,40,10.36,CK,2024-11-25
colchani,-20.3,-66.9333,57.9,54,70,16.44,BO,2024-11-25
ban huai thalaeng,14.9833,102.65,71.71,85,20,8.77,TH,2024-11-25
sabang,5.8933,95.3214,80.55,84,100,13.44,ID,2024-11-25
usinsk,65.9939,57.5281,26.2,94,100,35.63,RU,2024-11-25
inhambane,-23.865,35.3833,75.29,81,0,9.08,MZ,2024-11-25
prince george,53.9166,-122.753,8.62,85,100,3.44,CA,2024-11-25
bathurst,-33.4166,149.5806,86.97,40,59,3.0,AU,2024-11-25
i-n-salah,27.1935,2.4607,66.78,37,0,17.92,DZ,2024-11-25
grand-bourg,15.8835,-61.3148,83.19,76,34,24.96,GP,2024-11-25
antonio enes,-16.2325,39.9086,78.06,81,43,0.29,MZ,2024-11-25
fort-shevchenko,44.5086,50.263,49.14,59,100,8.61,KZ,2024-11-25
tanabe,33.7333,135.3667,65.41,68,75,21.85,JP,2024-11-25
sinabang,2.4803,96.3801,75.58,95,100,2.28,ID,2024-11-25
aioun,16.6614,-9.6149,76.68,13,0,11.34,MR,2024-11-25
changzhi,35.2089,111.7386,32.04,31,0,11.97,CN,2024-11-25
dwarka,22.2394,68.9678,76.17,51,3,8.57,IN,2024-11-25
mariinskiy posad,56.115,47.718,29.34,97,59,2.19,RU,2024-11-25
shippensburg,40.0507,-77.5203,50.67,79,99,2.3,US,2024-11-25
zhob,31.3411,69.4481,49.71,44,0,5.53,PK,2024-11-25
lamesa,32.7376,-101.951,50.97,44,100,11.18,US,2024-11-25
sijunjung,-0.6876,100.9537,73.13,97,100,0.89,ID,2024-11-25
alice springs,-23.7,133.8833,80.15,65,100,13.8,AU,2024-11-25
vicuna,-30.0319,-70.7081,81.32,37,4,7.0,CL,2024-11-25
pimentel,-6.8367,-79.9342,70.09,78,0,19.57,PE,2024-11-25
sumbawanga,-7.9667,31.6167,58.84,93,82,1.63,TZ,2024-11-25
port macquarie,-31.4333,152.9167,77.07,73,4,11.01,AU,2024-11-25
kujama,10.4542,7.6368,62.2,31,16,6.42,NG,2024-11-25
laguna,38.421,-121.4238,57.22,85,100,6.91,US,2024-11-25
formosa do rio preto,-11.0483,-45.1931,70.92,96,94,3.36,BR,2024-11-25
strasburg,48.5834,7.743,52.92,93,75,1.14,FR,2024-11-25
la carlota,10.4233,122.9208,82.62,73,95,6.55,PH,2024-11-25
luganville,-15.5333,167.1667,86.13,70,54,4.61,VU,2024-11-25
shimoda,34.6667,138.95,57.9,68,94,10.18,JP,2024-11-25
jiehu,35.5428,118.455,32.18,43,2,11.54,CN,2024-11-25
berdychiv,49.8993,28.6024,23.2,82,6,9.04,UA,2024-11-25
christchurch,-43.5333,172.6333,65.95,65,8,3.0,NZ,2024-11-25
siluko,6.5386,5.1609,75.11,91,81,2.37,NG,2024-11-25
tual,-5.6667,132.75,84.27,71,78,2.89,ID,2024-11-25
apatity,67.5641,33.4031,34.16,99,100,5.37,RU,2024-11-25
savelugu,9.6244,-0.8253,76.03,20,12,5.86,GH,2024-11-25
kusa,55.3383,59.4406,22.57,93,13,2.35,RU,2024-11-25
bratsk,56.1325,101.6142,16.29,86,100,11.65,RU,2024-11-25
hithadhoo,-0.6,73.0833,82.76,77,91,16.64,MV,2024-11-25
msaken,35.7292,10.5808,58.46,82,20,8.05,TN,2024-11-25
fale old settlement,-9.3852,-171.2468,83.93,74,38,15.82,TK,2024-11-25
hard bargain,26.3167,-77.5667,75.67,68,87,11.16,BS,2024-11-25
planaltina,-15.4528,-47.6142,65.93,95,34,6.13,BR,2024-11-25
sainte-anne-des-monts,49.124,-66.4924,39.07,100,100,4.61,CA,2024-11-25
uzhur,55.3036,89.8339,12.54,89,79,5.19,RU,2024-11-25
san patricio,28.017,-97.5169,82.35,66,5,11.81,US,2024-11-25
makaha,21.4694,-158.2175,81.99,57,75,6.91,US,2024-11-25
mirny,62.5353,113.9611,-3.1,87,100,13.06,RU,2024-11-25
pointe-noire,-4.7761,11.8635,78.1,89,100,5.88,CG,2024-11-25
brookings,44.3114,-96.7984,20.05,78,0,10.36,US,2024-11-25
huanuco,-9.9329,-76.2415,66.42,92,98,4.25,PE,2024-11-25
paratinga,-12.6906,-43.1842,71.87,92,93,3.44,BR,2024-11-25
aksuat,48.7167,83.7,17.17,73,15,3.71,KZ,2024-11-25
verkhnevilyuysk,63.4453,120.3167,-6.43,93,100,6.98,RU,2024-11-25
yeniseysk,58.4497,92.1703,13.53,96,94,3.74,RU,2024-11-25
mariehamn,60.0973,19.9348,44.46,93,100,14.97,AX,2024-11-25
kirriemuir,56.674,-3.0034,40.55,85,100,7.63,GB,2024-11-25
port-vila,-17.7338,168.3219,85.6,74,40,5.75,VU,2024-11-25
big spring,32.2504,-101.4787,48.65,59,0,11.5,US,2024-11-25
hudson,40.7168,-74.0663,52.02,53,20,8.05,US,2024-11-25
auki,-8.7676,160.7034,89.91,57,52,4.27,SB,2024-11-25
norilsk,69.3535,88.2027,24.19,92,100,17.96,RU,2024-11-25
kone,-21.0595,164.8658,86.11,60,90,4.68,NC,2024-11-25
labasa,-16.4167,179.3833,80.2,78,99,2.86,FJ,2024-11-25
new norfolk,-42.7826,147.0587,70.72,41,27,3.62,AU,2024-11-25
hotan,37.0997,79.9269,36.01,37,87,3.53,CN,2024-11-25
dawesville,30.9224,-84.0091,67.35,82,40,1.01,US,2024-11-25
atar,20.5169,-13.0499,79.63,13,0,8.43,MR,2024-11-25
chongwe,-15.3292,28.682,69.21,79,99,1.3,ZM,2024-11-25
nafplio,37.5683,22.8053,48.43,48,0,3.94,GR,2024-11-25
island harbour,50.724,-1.2758,48.02,68,75,3.0,GB,2024-11-25
kasumkent,41.6773,48.146,39.96,96,100,4.5,RU,2024-11-25
kasongo-lunda,-6.4667,16.8167,68.56,98,99,0.47,CD,2024-11-25
nur-sultan,51.1801,71.446,17.55,79,0,13.42,KZ,2024-11-25
caleta de carquin,-11.0925,-77.6267,67.71,82,94,11.34,PE,2024-11-25
taltal,-25.4,-70.4833,64.08,81,36,3.91,CL,2024-11-25
yebaishou,41.3975,119.6408,20.07,58,0,15.48,CN,2024-11-25
toliara,-23.35,43.6667,78.71,74,36,3.53,MG,2024-11-25
perbaungan,3.5679,98.956,76.69,92,100,3.33,ID,2024-11-25
laojunmiao,39.8333,97.7333,16.45,39,62,5.84,CN,2024-11-25
bereket,39.2446,55.5154,53.58,66,49,10.51,TM,2024-11-25
tbeng meanchey,13.8167,104.9667,73.87,88,54,1.3,KH,2024-11-25
mugia,43.1041,-9.2179,54.91,71,88,13.67,ES,2024-11-25
san luis,-33.295,-66.3356,73.81,68,33,11.18,AR,2024-11-25
luderitz,-26.6481,15.1594,60.76,75,46,15.95,NA,2024-11-25
ceeldheer,3.8488,47.1806,79.29,84,36,11.05,SO,2024-11-25
nova vicosa,-17.8919,-39.3719,73.9,66,5,9.28,BR,2024-11-25
sao tome,0.3365,6.7273,79.03,82,99,1.63,ST,2024-11-25
przysucha,51.3586,20.6289,36.57,86,25,5.77,PL,2024-11-25
qui nhon,13.7667,109.2333,74.66,91,98,9.13,VN,2024-11-25
cedeira,43.6797,-8.0209,50.97,100,57,15.23,ES,2024-11-25
borogontsy,62.6683,131.1683,-15.21,99,99,1.7,RU,2024-11-25
pamandzi,-12.7967,45.2794,78.58,89,0,3.44,YT,2024-11-25
pechora,65.1472,57.2244,25.88,88,100,24.23,RU,2024-11-25
staryye ozinki,51.1786,49.6769,30.09,68,99,7.4,RU,2024-11-25
tianfu,37.1936,122.0511,35.55,50,0,17.6,CN,2024-11-25
planeta rica,8.4147,-75.5883,77.88,89,85,8.16,CO,2024-11-25
dul'durga,50.6761,113.5931,-5.55,92,60,6.38,RU,2024-11-25
twentynine palms,34.1356,-116.0542,66.52,34,41,1.81,US,2024-11-25
selkirk,50.1436,-96.8845,14.18,90,100,4.0,CA,2024-11-25
suva,-18.1416,178.4415,83.68,79,75,6.91,FJ,2024-11-25
nikopol,47.5712,34.3964,30.18,66,72,12.97,UA,2024-11-25
moree,-29.4667,149.85,84.43,36,7,14.0,AU,2024-11-25
greymouth,-42.4667,171.2,63.68,75,62,10.71,NZ,2024-11-25
margate,51.3813,1.3862,46.69,78,80,16.98,GB,2024-11-25
shiyan,32.6475,110.7781,38.12,71,13,3.71,CN,2024-11-25
namibe,-15.1961,12.1522,68.36,80,26,8.25,AO,2024-11-25
la romana,18.4273,-68.9728,79.16,83,20,0.0,DO,2024-11-25
gadani,25.1185,66.7299,77.94,65,0,6.82,PK,2024-11-25
morococha,-11.5997,-76.1411,40.51,82,100,1.28,PE,2024-11-25
hinton,53.4001,-117.5857,12.09,98,19,2.66,CA,2024-11-25
conception bay south,47.4999,-52.9981,42.44,97,100,3.0,CA,2024-11-25
kodinsk,58.6881,99.1844,22.46,91,100,10.42,RU,2024-11-25
onega,63.9061,38.1404,37.33,91,100,15.57,RU,2024-11-25
elko,41.0002,-115.5012,36.73,78,87,27.0,US,2024-11-25
las lomitas,-24.7096,-60.593,95.83,31,89,10.98,AR,2024-11-25
lospalos,-8.5186,127.0025,84.87,57,87,1.28,TL,2024-11-25
ca mau,9.1769,105.15,78.78,84,100,8.99,VN,2024-11-25
north bend,43.4065,-124.2243,49.24,93,100,6.91,US,2024-11-25
pontianak,-0.0333,109.3333,75.18,100,100,2.3,ID,2024-11-25
winnemucca,40.973,-117.7357,44.65,42,100,9.22,US,2024-11-25
altamira,-3.2033,-52.2064,81.41,64,80,6.82,BR,2024-11-25
crane,31.3974,-102.3501,56.3,38,97,13.87,US,2024-11-25
worland,44.0169,-107.9554,37.85,50,0,5.75,US,2024-11-25
korla,41.7597,86.1469,31.53,55,0,12.26,CN,2024-11-25
palopo,-2.9996,120.1921,80.64,81,100,1.23,ID,2024-11-25
aguilas,37.4063,-1.5829,64.54,66,11,3.02,ES,2024-11-25
boundiali,9.5217,-6.4869,70.65,31,18,2.04,CI,2024-11-25
kalmunai,7.4167,81.8167,74.41,97,100,10.07,LK,2024-11-25
fort mcmurray,56.7268,-111.381,6.39,78,100,10.36,CA,2024-11-25
mogadishu,2.0371,45.3438,80.01,85,27,10.78,SO,2024-11-25
usoke,-5.1667,32.35,66.96,88,97,2.68,TZ,2024-11-25
jwaneng,-24.6004,24.7303,70.81,57,50,4.79,BW,2024-11-25
tarfaya,27.9358,-12.9218,69.53,82,51,10.2,MA,2024-11-25
charters towers,-20.1,146.2667,83.52,50,70,11.95,AU,2024-11-25
las heras,-46.5419,-68.9359,61.61,38,99,16.89,AR,2024-11-25
sona,45.4388,10.8255,44.85,91,75,1.14,IT,2024-11-25
angul,20.85,85.1,58.64,73,93,4.18,IN,2024-11-25
leava,-14.3,-178.1667,82.04,77,86,9.6,WF,2024-11-25
franceville,-1.6333,13.5836,70.97,99,100,1.32,GA,2024-11-25
maceio,-9.6658,-35.7353,78.24,88,20,11.5,BR,2024-11-25
hernando,28.5419,-82.4582,62.44,66,0,1.99,US,2024-11-25
linxia chengguanzhen,35.6003,103.2064,19.26,63,87,2.15,CN,2024-11-25
torghay,49.6339,63.4981,30.16,71,0,9.48,KZ,2024-11-25
poronaysk,49.2167,143.1167,22.05,69,38,1.86,RU,2024-11-25
pompeu,-19.2244,-44.9353,70.48,68,68,3.78,BR,2024-11-25
topeka,39.0483,-95.678,39.58,49,0,11.5,US,2024-11-25
tsiombe,-25.3,45.4833,75.54,92,82,11.16,MG,2024-11-25
dasoguz,41.8363,59.9666,35.55,75,0,6.91,TM,2024-11-25
xinyuan,37.3,99.0,0.05,58,14,7.63,CN,2024-11-25
coronel suarez,-37.4547,-61.9334,73.17,46,88,14.32,AR,2024-11-25
fortuna,40.5982,-124.1573,56.32,82,75,4.61,US,2024-11-25
adra,36.7496,-3.0206,64.45,67,24,6.15,ES,2024-11-25
uusikaupunki,60.8004,21.4084,43.63,98,100,17.72,FI,2024-11-25
tinghir,31.5157,-5.5343,54.46,56,18,1.88,MA,2024-11-25
bubaque,11.2833,-15.8333,83.73,64,0,11.86,GW,2024-11-25
chifeng,42.2683,118.9636,17.56,41,19,18.95,CN,2024-11-25
chernyshevskiy,63.0128,112.4714,-4.56,96,100,12.1,RU,2024-11-25
drama,41.1544,24.1394,38.86,48,25,3.04,GR,2024-11-25
mount pearl,47.5166,-52.7813,41.32,97,100,2.3,CA,2024-11-25
nadym,65.5333,72.5167,17.71,89,70,18.84,RU,2024-11-25
yuyao,30.05,121.1494,47.03,72,39,14.88,CN,2024-11-25
astorga,-23.2325,-51.6656,73.72,40,4,6.49,BR,2024-11-25
palmer,42.1584,-72.3287,41.95,65,75,4.61,US,2024-11-25
san carlos,9.6612,-68.5827,77.95,79,97,3.98,VE,2024-11-25
saeby,57.3319,10.5225,46.31,82,100,18.66,DK,2024-11-25
cabedelo,-6.9811,-34.8339,79.47,76,4,8.68,BR,2024-11-25
sangamner,19.5667,74.2167,58.68,62,71,2.84,IN,2024-11-25
shelui,-4.3667,34.2,69.67,80,63,1.61,TZ,2024-11-25
dawson creek,55.7666,-120.2362,-9.76,77,0,0.0,CA,2024-11-25
trondheim,63.4305,10.3951,40.91,75,95,1.01,NO,2024-11-25
wagar,16.1525,36.2032,75.38,22,0,13.33,SD,2024-11-25
bikenibeu village,1.3673,173.1241,89.56,55,20,18.41,KI,2024-11-25
seydi,39.4816,62.9137,49.73,48,0,8.01,TM,2024-11-25
la libertad,-2.2333,-80.9,74.86,83,40,11.1,EC,2024-11-25
sault ste. marie,46.5168,-84.3333,32.29,93,100,11.5,CA,2024-11-25
portland,45.5234,-122.6762,51.94,82,75,5.99,US,2024-11-25
madinat ash shamal,26.1293,51.2009,75.52,64,12,5.84,QA,2024-11-25
filiatra,37.15,21.5833,55.9,54,0,5.64,GR,2024-11-25
abadeh,31.1608,52.6506,45.05,84,70,8.43,IR,2024-11-25
praia da vitoria,38.7333,-27.0667,64.65,82,0,5.79,PT,2024-11-25
buka,40.8108,69.1986,47.48,32,69,1.45,UZ,2024-11-25
panaba,21.2833,-88.2667,70.14,86,0,7.65,MX,2024-11-25
badarpur,24.9,92.6,59.86,79,10,3.42,IN,2024-11-25
krasnyy chikoy,50.3643,108.7512,-1.86,99,100,3.24,RU,2024-11-25
kiunga,-6.1219,141.2906,83.91,75,97,1.36,PG,2024-11-25
